ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_023,random_loc,all_pa,3,all,cb1,78.72131257940468,56.39670463182431,6,83.77111548225948,74.45822160666623
sub_023,random_loc,all_pa,4,1,cb1,23.838363579008522,NA,1,NA,NA
sub_023,random_loc,all_pa,4,2,cb1,11.467387521249119,NA,1,NA,NA
sub_023,random_loc,all_pa,4,3,cb1,27.983354751706436,4.807329589476887,2,NA,NA
sub_023,random_loc,all_pa,4,4,cb1,97.35004989718757,68.33710725684325,2,NA,NA
sub_023,random_loc,all_pa,4,all,cb1,47.662093399674276,49.56407778534074,6,70.04321692355943,48.72961804038566
sub_023,random_loc,all_pa,5,1,cb1,28.36952728060515,NA,1,NA,NA
sub_023,random_loc,all_pa,5,2,cb1,24.33877516561793,NA,1,NA,NA
sub_023,random_loc,all_pa,5,3,cb1,13.652700846952676,1.2315531936533932,2,NA,NA
sub_023,random_loc,all_pa,5,4,cb1,103.03606411420365,47.06452902038388,2,NA,NA
sub_023,random_loc,all_pa,5,all,cb1,47.68097206142262,48.12191930224563,6,58.56496250237869,31.891383155856673
sub_023,random_loc,all_pa,6,1,cb1,55.431986056112045,NA,1,NA,NA
sub_023,random_loc,all_pa,6,2,cb1,28.86933453619082,NA,1,NA,NA
sub_023,random_loc,all_pa,6,3,cb1,19.51037167749508,20.337388551964036,2,NA,NA
sub_023,random_loc,all_pa,6,4,cb1,63.14362043265011,0.3452253147571339,2,NA,NA
sub_023,random_loc,all_pa,6,all,cb1,41.60155080209887,23.11398166545309,6,48.967694282920675,20.8715019836755
sub_023,random_loc,all_pa,7,1,cb1,20.02074119819244,NA,1,NA,NA
sub_023,random_loc,all_pa,7,2,cb1,8.489020942517458,NA,1,NA,NA
sub_023,random_loc,all_pa,7,3,cb1,41.079933863078296,4.80882227908132,2,NA,NA
sub_023,random_loc,all_pa,7,4,cb1,21.77276325539689,18.65759144830873,2,NA,NA
sub_023,random_loc,all_pa,7,all,cb1,25.702526062943377,15.515368773538615,6,40.9431677393852,13.659476383499896
sub_023,random_loc,all_pa,8,1,cb1,10.378105709858616,NA,1,NA,NA
sub_023,random_loc,all_pa,8,2,cb1,10.250047637084425,NA,1,NA,NA
sub_023,random_loc,all_pa,8,3,cb1,37.67816409550623,2.501095737026566,2,NA,NA
sub_023,random_loc,all_pa,8,4,cb1,27.244400613288278,14.431755043945264,2,NA,NA
sub_023,random_loc,all_pa,8,all,cb1,25.078880460755343,13.981423003421723,6,34.233651575467675,8.939524104078592
sub_023,no_schema,all_pa,1,1,cb1,326.1982987051358,NA,1,NA,NA
sub_023,no_schema,all_pa,1,2,cb1,155.04267187629043,NA,1,NA,NA
sub_023,no_schema,all_pa,1,3,cb1,100.6547368098011,118.60487633277735,2,NA,NA
sub_023,no_schema,all_pa,1,4,cb1,124.80287394132179,25.371258661616395,2,NA,NA
